id,name,phone,email,company,status,disposition,summary,called_at_iso,log_id
16240,Silitech Computers,+919874035831,silitech@gmail.com,Silitech Computers,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T09:06:49.983998Z,
16241,Lattice Networks,+919880012148,helpdesklatticeenteworks@gmail.com,Lattice Networks,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T09:06:12.118737Z,
16242,System Needs,+919845543444,support@systemneeds.in,System Needs,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T09:05:26.367357Z,
16243,Top Gun Network Technologies Pvt Ltd,+919845071018,info@topguntechnologies.com,Top Gun Network Technologies Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T09:03:29.862385Z,
16244,GADGETOLOGY NETWORK PRIVATE LIMITED,+917899402171,support@gadgetology.in,GADGETOLOGY NETWORK PRIVATE LIMITED,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:59:24.476544Z,
16245,AMAR RADIO CORPORATION,+917975477851,sales84@amarradio.com,AMAR RADIO CORPORATION,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:54:44.473381Z,
16246,Sertel Electronics (P) Ltd,+919385090333,sales@sertelelectronics.com,Sertel Electronics (P) Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:50:42.406643Z,
16247,Kamalveer Systems,+918886331764,sales@kamalveersystems.net,Kamalveer Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:47:45.899638Z,
16248,Avoor Networks Pvt. Ltd.,+919632819991,sales@avoornetworks.com,Avoor Networks Pvt. Ltd.,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:45:37.947544Z,
16249,TermVertex Blr,+919845076102,prathishraj@teamvertex.com,TermVertex Blr,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:41:53.059419Z,
