id,name,phone,email,company,status,disposition,summary,called_at_iso,log_id
16227,Modern Plastics Company,+917926441144,info@pvcpipe.in,Modern Plastics Company,completed,Interested,"The user provided an email address for more information, indicating interest in the offer. They explicitly stated, ""Send me email by info@thepvcpipe.in.""",2026-05-08T10:50:27.515121Z,
16228,Edream,+919663377073,contact@edream.co.in,Edream,completed,Interested,"The sales agent made initial contact and successfully obtained an email address from the user, indicating a potential lead, despite some communication issues.",2026-05-07T10:24:54.517414Z,
16229,Sycom Power Protection Pvt Ltd,+919821154210,sales@sycompower.com,Sycom Power Protection Pvt Ltd,completed,Interested,"The assistant made an initial outreach call, and after some unclear communication, the user provided an email address for further information regarding the call's purpose.",2026-05-07T09:47:12.882110Z,
16230,Transfield Transformers & Electronics Pvt Ltd,+919922123344,pandit@transfieldpune.com,Transfield Transformers & Electronics Pvt Ltd,completed,Interested,The user confirmed their phone number is registered on WhatsApp and requested that information be sent there for further review.,2026-05-07T09:32:25.383762Z,
16231,MK POWER DISTRIBUTORS,+919021353189,mkpowersystem74@gmail.com,MK POWER DISTRIBUTORS,completed,Interested,"The call, despite initial confusion, successfully identified the user's interest in a ""power system"" related service. The user provided their contact number and requested immediate action.",2026-05-07T09:23:50.952219Z,
16232,EagleCoats,+919121230001,eaglecoats@rediffmail.com,EagleCoats,completed,Interested,"The call was initially unclear and confused, but the user eventually requested information about the platform and quotation to be sent via email and WhatsApp, stating they would review it and call back.",2026-05-07T08:43:03.680323Z,
16233,FUTURE RAY TECHNO SOLUTIONS,+917259676627,info@frtnsolutions.in,FUTURE RAY TECHNO SOLUTIONS,completed,Interested,The prospect requested to receive and review information via email rather than discussing it over the phone.,2026-05-07T08:37:21.320261Z,
16234,Prodigy Computers and Laptops Pvt Lt,+919985356363,prodigyhyderabad@gmail.com,Prodigy Computers and Laptops Pvt Lt,completed,Interested,The call was very brief and did not progress into a sales conversation. The user spontaneously provided an email address without a direct request from the assistant.,2026-05-07T08:21:16.491738Z,
16235,CUBE HVAC TECH,+916364049966,cubehvactech@gmail.com,CUBE HVAC TECH,completed,Interested,The agent successfully engaged the prospect and obtained their email address for further communication.,2026-05-07T06:28:31.448546Z,
16236,Shiyal Electricals,+918549999979,shiyalelec@yahoo.co.in,Shiyal Electricals,completed,Interested,"The call was extremely brief, primarily focused on confirming the user's email address. No product or service information was conveyed, and the user explicitly requested email communication for follow-up.",2026-05-07T05:22:36.541756Z,
16237,Modern Plastics Company,+917926441144,info@pvcpipe.in,Modern Plastics Company,completed,Interested,"The call was brief and unclear, possibly due to audio or communication issues. The user expressed a specific need for a 'full import of this BBC pipe body' and provided a number, but no further details were discussed or confirmed.",2026-05-06T13:17:22.786487Z,
16238,SHREE MODI MATERIALS HANDLING CO,+919974814444,pgmodi@modi-gujarat.com,SHREE MODI MATERIALS HANDLING CO,completed,Interested,"The call transcript is highly fragmented and unclear, but the user provided a location and an email address.",2026-05-06T10:52:43.245943Z,
16239,National Aircon,+919833395951,nationalaircon.sale@gmail.com,National Aircon,completed,Interested,"The agent contacted the user to initiate a conversation, and the user provided their email address as requested.",2026-05-06T10:43:57.367312Z,
